wid,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
14,absolute,ˈæbsəluːt,NULL,NULL,NULL,NULL,NULL,"['adj. 完全的，纯粹的；绝对的，无疑的；十足的；不受任何限制的，专制独裁的；（结构）独立的', 'n. 绝对真理，绝对原则']"
15,absorb,əbˈzɔːb,NULL,NULL,NULL,NULL,NULL,['v. 吸收；使并入，纳入；同化，汲取；消减，缓冲（外力、震动等）；理解，掌握（信息）；使全神贯注，使专心；承受（变革、影响等），承担（费用等）；花掉（大量金钱），耗费']
16,abstract,ˈæbstrækt,abstracts,abstracts,abstracting,abstracted,abstracted,"['adj. 抽象的，纯概念的；（艺术）抽象派的；理论上的，不切实际的', 'n. 摘要，梗概；抽象画，抽象派艺术作品；抽象的概念', 'v. 抽象化，从理论上（或孤立地）考虑；提取，使分离；写……的摘要；偷走，窃取；退出']"
17,absurd,əbˈsɜːd,NULL,NULL,NULL,NULL,NULL,"['adj. 愚蠢的，荒谬的；滑稽可笑的；荒诞派的', 'n. 荒诞，荒诞的事物 （the absurd）']"
18,abundance ,əˈbʌndəns,NULL,NULL,NULL,NULL,NULL,['n. 大量，丰富；繁荣，富裕；数量，丰度；（纸牌惠斯特用语）独得九墩']
19,abundant,əˈbʌndənt,NULL,NULL,NULL,NULL,NULL,['adj. 大量的，丰富的，充足的']
20,abuse,əˈbjuːs,abuses,abuses,abusing,abused,abused,"['v. 虐待；滥用，辜负；辱骂；糟蹋（某物）；性侵犯', 'n. 虐待，凌辱；滥用，妄用；辱骂；舞弊，腐败；糟蹋；性侵犯；恶习，陋习', '【名】 （Abuse）（英）阿比斯（人名）']"
21,academic,ˌækəˈdemɪk,academics,NULL,NULL,NULL,NULL,"['adj. 学业的，学术的；学校的，学院的；学业（成绩）优秀的，善于学习的；不切实际的，空谈的', 'n. 大学教师，学者；（学校或学院的）课程；大学生']"
22,academy,əˈkædəmi,academies,NULL,NULL,NULL,NULL,['n. 专科院校；研究院，学会；（美国的）私立学校；（苏格兰的）中等学校']
23,accelerate,əkˈseləreɪt,NULL,accelerates,accelerating,accelerated,accelerated,['v. （使）加快，促进；（车辆或驾驶者）加速']
24,accent,ˈæksent,accents,accents,accenting,accented,accented,"['n. 口音，腔调，土音；着重点，强调；重音；（字母上的）读音符号；点缀，特色', 'v. 强调，突出；重读；以重音演奏']"
25,accept,əkˈsept,NULL,accepts,accepting,accepted,accepted,['v. 接受，收受；同意，赞成；相信，认为……正确；忍受，容忍；吸纳，招收；接纳；承担（责任等），承认；承兑，认付（单据等）；不排斥；适配']
26,acceptable ,əkˈseptəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 可接受的，（大多数人）认同的；合意的，令人满意的；尚可的，勉强的；可容忍的，可允许的']
27,acceptance,əkˈseptəns,acceptances,NULL,NULL,NULL,NULL,['n. 接受；赞同，认可；容忍；接纳；相信，承认']
28,access,ˈækses,accesses,accesses,accessing,accessed,accessed,"['n. 入口，通道；获得的机会，使用权；（对计算机存储器的）访问，存取；（情感）爆发，发作；探视权', 'v. 接近，进入；获取，访问（计算机信息）', 'adj. <美>（电视节目或时间等）对外公开的']"
29,accessory,əkˈsesəri,accessories,NULL,NULL,NULL,NULL,"['n. 附件，配件；装饰品，配饰；同谋，从犯', 'adj. 辅助的，副的；附属的；同谋的']"
30,accident,ˈæksɪdənt,accidents,NULL,NULL,NULL,NULL,['n. 交通事故，车祸；（不幸的）意外遭遇，不测事件；意外，偶然的事；运气，机遇；大便（或小便）失禁；（亚里士多德思想中的）非本质属性']
31,accidental,ˌæksɪˈdent(ə)l,accidentals,NULL,NULL,NULL,NULL,"['adj. 意外的，偶然的；非主要的，附带的；（亚里士多德思想中的）非本质属性的；临时记号的', 'n. 临时记号；次要方面，非主要的特性']"
32,acclaim,əˈkleɪm,NULL,acclaims,acclaiming,acclaimed,acclaimed,"['v. 赞扬，称赞，为……喝彩', 'n. 赞扬，称誉，高度评价']"
33,accommodate,əˈkɒmədeɪt,NULL,accommodates,accommodating,accommodated,accommodated,['v. 为……提供住宿；容纳，提供空间；考虑到，顾及；顺应，适应；帮助（某人），向……施以援手；迎合，迁就；调解']
34,accommodation,əˌkɒməˈdeɪʃ(ə)n,accommodations,NULL,NULL,NULL,NULL,['n.  <美>住宿，膳宿；<英>住处，办公处，停留处；（楼房或交通工具内的）空间，座位；和解，调和；（通过改变眼球晶状体形状）自动调焦']
35,accompany,əˈkʌmpəni,NULL,accompanies,accompanying,accompanied,accompanied,['v. 陪伴，陪同；伴随，与……一起发生；为……伴奏（或伴唱）；附带，补充']
36,accomplish,əˈkʌmplɪʃ,NULL,NULL,NULL,NULL,NULL,['v. 完成，实现']
37,accord,əˈkɔːd,accords,accords,according,accorded,accorded,"['n. 协议，条约；符合，一致', 'v. 使受到，给予（某种待遇）；（与……）一致，符合']"
38,accordance ,əˈkɔːd(ə)ns,NULL,NULL,NULL,NULL,NULL,['n. 按照，依据，与……一致（in accordance with）']
39,according to,,NULL,NULL,NULL,NULL,NULL,['prep. 据……所说，根据……报道；取决于，以…为转移；根据，依照 （原则等）']
40,accordingly,əˈkɔːdɪŋli,NULL,NULL,NULL,NULL,NULL,['adv. 相应地，照着；因此，所以']
41,account,əˈkaʊnt,accounts,accounts,accounting,accounted,accounted,"['n. 账户，户头；客户，老主顾；网络账号；描述，报道；账目；账单；赊购账，赊购；理由，解释；重要性；（定期结付的）交易合同；演奏（音乐）；<英>账期交易期', 'v. 把……视作，认为；解释，说明（account for）；占（一定数量或比例）（account for）；<古>报账']"
42,accountant,əˈkaʊntənt,accountants,NULL,NULL,NULL,NULL,['n. 会计，会计师']
43,accumulate,əˈkjuːmjəleɪt,NULL,accumulates,accumulating,accumulated,accumulated,['v. 积累，积攒']
44,accuracy,ˈækjərəsi,accuracies,NULL,NULL,NULL,NULL,['n. 准确性，精确性；准确，精确']
45,accurate,ˈækjərət,NULL,NULL,NULL,NULL,NULL,['adj. 准确的，精确的；（工具，方法）精密的；正确无误的；（武器、投掷）精准的']
46,accuse,əˈkjuːz,NULL,accuses,accusing,accused,accused,['v. 控告，指控；指责，谴责，归咎于']
47,accustomed,əˈkʌstəmd,NULL,NULL,NULL,NULL,NULL,"['adj. 习惯的，适应的；惯常的，通常的；（眼睛对光线变化）习惯了的，适应了的', 'v. 使习惯于，使适应（accustom 的过去式和过去分词）']"
48,ache ,eɪk,aches,aches,aching,ached,ached,"['v. （隐隐地、持续地）疼痛；渴望；哀痛，怜悯', 'n. （身体某部位的）疼痛；（心中的）苦痛，痛苦；<文>渴望； <文>渴望', '【名】 （Ache）（美、法、印尼）阿切（人名）']"
49,achieve,əˈtʃiːv,NULL,achieves,achieving,achieved,achieved,['v. （经努力）达到，取得，实现；获得成功']
50,acid,ˈæsɪd,acids,NULL,NULL,NULL,NULL,"['n. 酸；<非正式>迷幻药；尖刻（或尖酸）的言语（或语调）；质子供体，电子对受体', 'adj. 酸的；酸性的；尖酸的，刻薄的；（颜色）刺目的，鲜亮的；（岩石，尤指熔岩）含相当量硅石的']"
51,acknowledge,əkˈnɒlɪdʒ,NULL,acknowledges,acknowledging,acknowledged,acknowledged,['v. 承认；认可； 跟……打招呼，理会；告知收到；（公开）感谢']
52,acquaint,əˈkweɪnt,NULL,acquaints,acquainting,acquainted,acquainted,['v. 使熟悉，使了解']
53,acquaintance,əˈkweɪntəns,acquaintances,NULL,NULL,NULL,NULL,['n. 相识的人，泛泛之交；认识，相识；所知，了解']
54,acquire,əˈkwaɪə(r),NULL,acquires,acquiring,acquired,acquired,['v. 获得，得到；学到，习得；患上（疾病）；逐渐具有，开始学会']
55,acquisition,ˌækwɪˈzɪʃ(ə)n,acquisitions,NULL,NULL,NULL,NULL,['n. 学得，习得；（金钱、财物等的）获取；购买，添置，增添物；收购，购置的产业']
56,acre,ˈeɪkə(r),acres,NULL,NULL,NULL,NULL,['n. 英亩；<非正式>大片，大量']
57,acrobat,ˈækrəbæt,acrobats,NULL,NULL,NULL,NULL,['n. 杂技演员；善用（智力或艺术）技巧者；善于随机应变者']
58,across,əˈkrɒs,NULL,NULL,NULL,NULL,NULL,"['adv. 从一边到另一边；在……对面；朝，向；宽；横向字谜答案', 'prep. 从一边到另一边；横过，穿过；在……对面；遍及；在……上；跨越（政治、宗教、社会隔阂等）']"
59,act,ækt,NULL,NULL,NULL,NULL,NULL,"['v. 行动；举动，表现；假装；表演，演出；担任；起作用；代理；（心理分析）行为表现', 'n. 行为，行动；法案；装模作样；（戏剧、歌剧等的）一幕；一段表演；节目；表演者，演出团体；发现某人正在（做某事）；判决书；<旧>会议记录，公报']"
60,action,ˈækʃ(ə)n,actions,actions,actioning,actioned,actioned,"['n. 行动；行为；战斗；诉讼；<非正式>令人激动的事；动作；情节；惊险刺激的活动（或事件）；作用；开始（电影导演开拍的指令）；赚钱的机会；性交；运转方式', 'v. 处理', 'adj. 动作（片）的，动作片中的', '【名】 （Action）（英）埃克申（人名）']"
61,activate,ˈæktɪveɪt,NULL,activates,activating,activated,activated,['v. 激活，使活化；使参战；（尤指透过加热）加速……的反应']
62,active,ˈæktɪv,actives,NULL,NULL,NULL,NULL,"['adj. 好动的；积极主动的；定期进行的，起作用的；（思想等）活跃的；切实的；（火山）活的；主动语态的；活性的；（疾病）恶化的；服役的；参战的；（动词）表动作的；（电路系统）在运转中的', 'n. 主动语态']"
63,activity ,ækˈtɪvəti,activities,NULL,NULL,NULL,NULL,['n. 活跃状况，热闹；活动；（Activity）热力活性，活度']
64,actor,ˈæktə(r),actors,NULL,NULL,NULL,NULL,['n. 演员；像在演戏的人；（行动或过程）参与者']
65,actress,ˈæktrəs,actresses,NULL,NULL,NULL,NULL,['n. 女演员']
66,actual,ˈæktʃuəl,NULL,NULL,NULL,NULL,NULL,['adj. 真实的，实际的，现实的；（用于对比主次方面）真正的；现存的，当前的']
67,acute,əˈkjuːt,NULL,NULL,NULL,NULL,NULL,['adj. 严重的，危险的；急性的，剧烈的；灵敏的；敏锐的，有洞察力的；锐角的；带尖音符的；（声音）高的，尖的']
68,adapt,əˈdæpt,NULL,adapts,adapting,adapted,adapted,['v. 适应；调整，使适合；改编；改造，改装']
69,add,æd,NULL,NULL,NULL,NULL,NULL,"['v. 添加，掺入；（使）相加，加；增加；增添（某种特性）；把……计算在内，包括；补充说，继续说', 'abbr. 注意力缺陷障碍，多动症（ADD）']"
70,addict,ˈædɪkt,addicts,addicts,addicting,addicted,addicted,"['n. （尤指毒品）上瘾者，瘾君子；<非正式>对……入迷的人', 'v. 使上瘾，使沉迷']"
71,addition,əˈdɪʃn,additions,NULL,NULL,NULL,NULL,['n. 增加物，新增人员；增加；加法；（建筑物的）扩建部分']
72,additional,əˈdɪʃən(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 附加的，额外的']
73,address,əˈdres,addresses,addresses,addressing,addressed,addressed,"['n. 地址，住址；网址；电子邮箱地址；演讲，演说；（电子表格中某个单元格的）位置；<古>（对他人的）谈吐；<古>谦恭（或脉脉含情）的方式；<旧>机敏，迅速；位置存储编码', 'v. 演说，演讲；处理，设法解决；在（信封、包裹等）上写姓名和地址，致函；<正式> 向……讲话；称呼；<正式>（向某人）提出（陈述、投诉等）；（高尔夫）就位击（球）']"
74,adequate,ˈædɪkwət,NULL,NULL,NULL,NULL,NULL,['adj. 足够的，适当的，合乎需要的；（品质）足够好的，令人满意的；（质量）达到要求的，勉强过关的']
75,adhere,ədˈhɪə(r),NULL,adheres,adhering,adhered,adhered,['v. 黏附，附着；遵守，遵循（规定或协议）；拥护，持有（观点或信仰）']
76,adjacent,əˈdʒeɪs(ə)nt,NULL,NULL,NULL,NULL,NULL,['adj. 邻近的，毗连的；（几何）（两个角）相邻的']
77,adjective,ˈædʒɪktɪv,adjectives,NULL,NULL,NULL,NULL,"['n. 形容词', 'adj. 形容词的；从属的']"
78,adjoin,əˈdʒɔɪn,NULL,adjoins,adjoining,adjoined,adjoined,['v. （建筑、房间或土地等）毗邻，连接']
79,adjust,əˈdʒʌst,NULL,adjusts,adjusting,adjusted,adjusted,['v. 调整，调节；整理（衣服）；适应，习惯；（保险理赔时）理算，评估（损失，损害）']
80,administer,ədˈmɪnɪstə(r),NULL,administers,administering,administered,administered,['v. 管理，治理；执行，实施；给予（药物或治疗）；给予帮助，关心照顾（某人）；主持（仪式等）；<正式>踢，打；执行遗产管理人的职责']
81,administration,ədˌmɪnɪˈstreɪʃ(ə)n,administrations,NULL,NULL,NULL,NULL,['n. 管理，行政；管理部门，行政部门；（某一任期的）政府；执行，监管；（药的）服用，配给；遗产管理，（债务人、其他个人或破产公司的）资产管理']
82,admire,ədˈmaɪə(r),NULL,admires,admiring,admired,admired,['v. 钦佩，仰慕；欣赏，观赏']
83,admission,ədˈmɪʃ(ə)n,admissions,NULL,NULL,NULL,NULL,['n. 承认，供认；允许进入（加入），进入权；录取，录取人数；入场费；入院治疗（检查）；入场人数；入院病人']
84,admit,ədˈmɪt,NULL,admits,admitting,admitted,admitted,['v. （勉强）承认；招认，招供；准许进入（某处）；接纳，接收（入学）；收治，接收入院；承认……有效；容许，为……留有余地']
85,adolescent,ˌædəˈles(ə)nt,adolescents,NULL,NULL,NULL,NULL,"['n. 青少年', 'adj. 青春期的；不成熟的']"
86,adopt,əˈdɒpt,NULL,adopts,adopting,adopted,adopted,['v. 收养；采取，采纳，接受；正式通过；选定（名字），承袭（风俗）；移居，定居；提名（某人）为候选人；保持（姿势）；<英>（地方当局）承担（道路）维修保养责任']
87,adore,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,adult,ˈædʌlt; əˈdʌlt,adults,adults,adulting,adulted,adulted,"['n. 成年人；成年动物', 'adj. 成年的，发育成熟的；成人的，理智的；（电影、杂志等）仅限于成人的', 'v. <非正式>像成年人一样表现；<非正式>变成熟']"
89,advance,ədˈvɑːns,advances,advances,advancing,advanced,advanced,"['v. （使）前进，（使）向前移动；发展，进步；预付；提前，提早；促进，推动；提出（想法或理论）；上涨，增加；提拔，晋升', 'n. 前进；进步，进展；改善；预付款；勾引，追求；（价格、价值的）上涨；贷款', 'adj. 预先的，事先的；先行的，先遣的']"
90,advanced,ədˈvɑːnst,NULL,NULL,NULL,NULL,NULL,"['adj. 先进的；高级的，高等的；晚期的，状况不佳的；高龄的；新提出（尚未被广泛接受）的', 'v. 行进；发展，进步；预付（advance 的过去式和过去分词形式）']"
91,advantage,ədˈvɑːntɪdʒ,advantages,advantages,advantaging,advantaged,advantaged,"['n. 有利条件，优势；优点；利益；（局末平分后）占先，优势分', 'v. 有利于，有助于']"
92,advent,ˈædvent,NULL,NULL,NULL,NULL,NULL,['n. 出现，到来，问世；基督降临节（Advent）；基督降临，基督复临（Advent）']
93,adventure,ədˈventʃə(r),adventures,adventures,adventuring,adventured,adventured,"['n.  冒险（经历），奇遇；冒险的刺激，冒险欲；<古>生意', 'v. 冒险；大胆说出；去（某地）探险']"
94,adverb,ˈædvɜːb,adverbs,NULL,NULL,NULL,NULL,"['n. 副词', 'adj. 副词的']"
95,adverse,ˈædvɜːs,NULL,NULL,NULL,NULL,NULL,['adj. 不利的，有害的；相反的；敌对的']
96,advertise,ˈædvətaɪz,NULL,advertises,advertising,advertised,advertised,['v. 为……做广告，登广告；公布，征聘；宣扬；使变得显眼；<古>提醒……注意']
97,advice,ədˈvaɪs,NULL,NULL,NULL,NULL,NULL,['n. 忠告，劝告，建议；（金融交易）正式通知；消息']
98,advisable,ədˈvaɪzəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 明智的，可取的']
99,advise,ədˈvaɪz,NULL,advises,advising,advised,advised,['v. 通知，告知；劝告，建议']
100,advocate,ˈædvəkeɪt,advocates,advocates,advocating,advocated,advocated,"['v. 拥护，提倡', 'n. 拥护者，提倡者；辩护律师；（为某一类人）谋利益者；（一项事业或个组织的）工作者']"
101,aerial,ˈeəriəl,aerials,NULL,NULL,NULL,NULL,"['n. 天线；（滑雪等运动的）空中腾越', 'adj. 航空的，从飞机上的；空中的，地表以上的；由飞机实施的；（植物的某部分）气生的；在空中翱翔的；（在）大气（中）的']"
102,aeroplane ,ˈeərəpleɪn,aeroplanes,NULL,NULL,NULL,NULL,['n. <英> 飞机']
103,aesthetic,iːsˈθetɪk,aesthetics,NULL,NULL,NULL,NULL,"['adj. 审美的，美学的；美的，艺术的', 'n. 美感，审美观；美学（aesthetics）；美术理论']"
104,affair,əˈfeə(r),affairs,NULL,NULL,NULL,NULL,['n. 公共事务，政治事务；事情，事件；个人的事，私事；私人业务；（尤指已婚男女的）私通，风流韵事；社交活动，喜庆事；<旧> 物件，东西；商务和金融交易']
105,affect,əˈfekt,affects,affects,affecting,affected,affected,"['v. 影响；（疾病）侵袭，感染；（在感情上）深深打动，震撼；<正式> 假装，佯装', 'n. （尤指影响行为或行动的）情感，感情']"
106,affection,əˈfekʃn,affections,NULL,NULL,NULL,NULL,['n. 喜爱，关爱；爱恋，爱慕之情；精神状况，感情；疾患，病；影响']
107,affiliate,əˈfɪlieɪt,affiliates,affiliates,affiliating,affiliated,affiliated,"['v. 使隶属，使紧密联系；<正式>加入；（组织）接纳……为成员', 'n. 附属机构，分支机构']"
108,affirm,əˈfɜːm,NULL,affirms,affirming,affirmed,affirmed,['v. 断言，证实； 宣称拥护，支持；认可（判决，协议），批准；不宣誓而提供正式证词；给予（某人）情感支持（或鼓励）']
109,affluent,ˈæfluənt,affluents,NULL,NULL,NULL,NULL,"['adj. 富裕的，富足的；<古>（水）畅流，滔滔流动；丰富的', 'n. 富人；<古>支流']"
110,afford,əˈfɔːd,NULL,affords,affording,afforded,afforded,"['v. 买得起；有（时间）做某事；承担得起；<正式>提供，给予', 'n. （Afford）（英、美）阿福德（人名）']"
111,afraid,əˈfreɪd,NULL,NULL,NULL,NULL,NULL,['adj. 害怕的；担心的；（害怕后果而）不愿意的，勉强的；遗憾的']
112,afterward,ˈɑːftəwəd,NULL,NULL,NULL,NULL,NULL,['adv. 以后，后来']
113,again,əˈɡen,NULL,NULL,NULL,NULL,NULL,"['adv. 再一次；复原；<非正式>请再说一遍；不过，然而（then again）；增加，多', '【名】 （Again）（英、保）阿盖恩（人名）']"
114,against,əˈɡenst; əˈɡeɪnst,NULL,NULL,NULL,NULL,NULL,['prep. 反对；（行为）违背……；（法律或法规）禁止；与……竞争；对……造成伤害（威胁，不利）；碰；倚着；逆向；以……为背景；与……相比；防备，抵御；讨厌某人，不赞同某人；作为（某物的）应付款项；（赌博用语）预计……的失败']
115,age,eɪdʒ,ages,ages,ageing或aging,aged,aged,"['n. 年龄，年纪；寿命，（物的）年代；法定年龄；时代，时期；年龄段；<非正式>很长时间；成长，年老，陈年；（地质）代', 'v. 变老，老化；（使）显老，（使）苍老；（使）变陈，（使）成熟；<英>推算年龄', '【名】 （Age）（西、荷）阿赫，（瑞典）阿格，（日）扬（人名）']"
116,agency,ˈeɪdʒənsi,agencies,NULL,NULL,NULL,NULL,['n. 代理行，经销处；政府专门机构，政府内的局，部，处；（尤指产生某效果的）作用；起作用的事物（或人）']
117,agenda,əˈdʒendə,NULL,NULL,NULL,NULL,NULL,['n. 待议事项，议事日程；（政治）议题；秘密计划，秘密目标']
118,agent,ˈeɪdʒənt,agents,NULL,NULL,NULL,NULL,"['n. 代理人，代理商；（艺术界的）经纪人；间谍，特工；原动力，动因；剂；（语法）施动者；（美国某些政府部门的）官员', '【名】 （Agent）（罗）阿真特（人名）']"
119,aggravate,ˈæɡrəveɪt,NULL,aggravates,aggravating,aggravated,aggravated,['v. 使加重，使恶化；惹怒，激怒']
120,aggressive,əˈɡresɪv,NULL,NULL,NULL,NULL,NULL,['adj. 好斗的，挑衅的；积极进取的；非常严重的；强烈的']
121,agitate,ˈædʒɪteɪt,NULL,agitates,agitating,agitated,agitated,['v. 煽动，鼓动，抗议；使焦虑；搅动，摇动（液体等）']
122,agony,ˈæɡəni,agonies,NULL,NULL,NULL,NULL,['n. 剧痛，创痛；痛楚，苦难']
123,agree,əˈɡriː,NULL,agrees,agreeing,agreed,agreed,['v. 同意，赞成；答应，接受；达成一致意见；商定，约定；相符，吻合；赞同；（语法）呼应；批准，认可（计划、要求等）；适合（某人）']
124,agreeable,əˈɡriːəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 愉悦的，讨人喜欢的；欣然同意的；可接受的']
125,agreement,əˈɡriːmənt,agreements,NULL,NULL,NULL,NULL,['n. 协议，协定，契约；共识；应允，同意；（在数、性或人称方面的）一致']
126,agriculture ,ˈæɡrɪkʌltʃə(r),NULL,NULL,NULL,NULL,NULL,['n. 农业，农学，农艺']
127,ahead,əˈhed,NULL,NULL,NULL,NULL,NULL,"['adv. 在前面，朝前面；领先，占优势；提前，预先；在将来，今后；（数量或价值上）更多，更高；取得进步，获得成功；超出预期地，超前地', 'adj. 在前的，提前的']"
128,aid,eɪd,NULL,NULL,NULL,NULL,NULL,"['n. 帮助；援助，救助；辅助物，辅助设施；助手；特别津贴，国库税', 'v. 帮助，援助；促进，有助于', '【名】 （Aid）（英、阿拉伯、印）艾德（人名）']"
129,aim,eɪm,NULL,NULL,NULL,NULL,NULL,"['n. 目标，目的；瞄准，对准；枪法，击中目标的能力', 'v. 瞄准，对准；旨在，致力于；针对，指向']"
130,air,eə(r),NULL,NULL,NULL,NULL,NULL,"['n. 大气，空气；空中，天空；乘坐飞机，航空；神态，氛围；曲调，旋律；装腔作势，做作；空气媒质；气，风', 'v. 使公开，宣扬；（使）通风；（使）晾干，（使）烘干；播送，播放；<古>出去透气；<古>炫耀，夸示']"
131,air-conditioning ,ˈeə kəndɪʃənɪŋ,NULL,NULL,NULL,NULL,NULL,['n. 空调系统；空气调节']
132,aircraft ,ˈeəkrɑːft,aircraft,NULL,NULL,NULL,NULL,['n. 飞机，航空器']
133,airline,ˈeəlaɪn,airlines,NULL,NULL,NULL,NULL,"['n. 航空公司；输气管（air line）；航线', 'adj. 航线的']"
134,airport,ˈeəpɔːt,airports,NULL,NULL,NULL,NULL,['n. 机场，航空站 （港）；空旅通俗读物']
135,aisle,aɪl,aisles,NULL,NULL,NULL,NULL,['n. 走廊，过道；（教堂）耳堂，侧堂']
136,alarm,əˈlɑːm,alarms,alarms,alarming,alarmed,alarmed,"['n. 警报；警报器；闹钟；惊恐，担忧', 'v. 使不安，使恐慌；给（门等）安装警报器']"
137,album,ˈælbəm,albums,NULL,NULL,NULL,NULL,['n. 唱片，专辑；相册，影集，集邮册']
138,alcohol,ˈælkəhɒl,alcohols,NULL,NULL,NULL,NULL,['n. 含酒精饮品，酒；酒精，乙醇；醇']
139,alert,əˈlɜːt,alerts,alerts,alerting,alerted,alerted,"['adj. 警惕的，警觉的；机敏的，敏捷的；意识到，注意到（alert to）', 'v. 向……报警，使警觉；提示，提醒（某人）', 'n. 警报，警示；警戒，警惕；（电子设备的）提示信号；警戒期', '【名】 （Alert）（美、德、俄、西、印）阿莱尔特（人名）']"
140,alien,ˈeɪliən,aliens,aliens,aliening,aliened,aliened,"['adj. 陌生的；外国的，异域的；与外星人有关的，与地球外有关的；（植物或动物种类）外来的；不相容的，格格不入的 （alien to）', 'n. 外国人，侨民；外星人（或生物）；（植物或动物种类）外国引进品种', 'v. 让渡，转让', '【名】 （Alien）（法）阿利安（人名）']"
141,alike,əˈlaɪk,NULL,NULL,NULL,NULL,NULL,"['adj. 相似的，相像的', 'adv. 相似地，相同地；两者都，同样地', '【名】 （Alike）（美、印）艾立凯（人名）']"
142,alive,əˈlaɪv,NULL,NULL,NULL,NULL,NULL,['adj. 活着的；仍然存在的；活跃的，充满活力的；热闹的；尚未失败，仍有成功机会；注意到的']
143,allege,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,alleviate,əˈliːvieɪt,NULL,alleviates,alleviating,alleviated,alleviated,['v. 减轻，缓和']
145,alliance,əˈlaɪəns,alliances,NULL,NULL,NULL,NULL,['n. 联盟，结盟；结盟团体，结盟国家；（人们间的）亲密关系，（尤指）联姻']
146,allocate,ˈæləkeɪt,NULL,allocates,allocating,allocated,allocated,['v. 分配，分派，划拨']
147,allow,əˈlaʊ,NULL,allows,allowing,allowed,allowed,['v. 允许，准许；使有可能；任凭；<正式>接受，认可；促使；（特地）酌留；承认，同意；让对方得分']
148,allowance,əˈlaʊəns,allowances,allowances,allowancing,allowanced,allowanced,"['n. 津贴，补助；限额，定量；折价，折扣；免税额；<美>零花钱；考虑到的事情；体谅，原谅；允许，认可；（赛马）减载量', 'v. 为（某人）提供津贴；定量供应（物品）']"
149,alloy,ˈælɔɪ,alloys,alloys,alloying,alloyed,alloyed,"['n. 合金；（与贵金属混合的）劣等金属', 'v. 把（金属）铸成合金；<文>损坏，使（价值）降低', '【名】 （Alloy）（美、法、英、巴、加）阿洛伊（人名）']"
150,ally,ˈælaɪ,allies,allies,allying,allied,allied,"['n. 同盟国；盟友，支持者；辅助物，助手', 'v. 与……结盟，与……联合', '【名】 （Ally）（英）艾丽，（法）阿利，（巴基）阿利，（尼日利）阿利（人名）']"
151,almost,ˈɔːlməʊst,NULL,NULL,NULL,NULL,NULL,['adv. 几乎，差不多']
